"11/15/2017 14:10:52",16246,"11/15/2017 14:11:08",4577,"11/15/2017 14:11:13","D:\code\cc-script_0.0.3\10805487.3.labs.11-15-2017 14-10-41.png",
"11/15/2017 14:15:21",1675,"11/15/2017 14:15:23",2115,"11/15/2017 14:15:25","D:\code\cc-script_0.0.3\10805487.3.labs.11-15-2017 14-15-10.png",
"11/15/2017 14:22:46",1755,"11/15/2017 14:22:48",4422,"11/15/2017 14:22:52","D:\code\cc-script_0.0.3\10805487.3.labs.11-15-2017 14-22-21.png",
"11/15/2017 14:30:28",180678,"11/15/2017 14:33:29",16,"11/15/2017 14:33:29",,
"11/15/2017 14:49:25",2605,"11/15/2017 14:49:28",5589,"11/15/2017 14:49:33","D:\code\cc-script_0.0.3\10805487.3.labs.11-15-2017 14-49-18.png",
"11/15/2017 15:08:29",1755,"11/15/2017 15:08:31",180072,"11/15/2017 15:11:31",,
"11/15/2017 15:27:36",180775,"11/15/2017 15:30:37",18,"11/15/2017 15:30:37",,
"11/15/2017 15:46:34",2624,"11/15/2017 15:46:37",4840,"11/15/2017 15:46:42","D:\code\cc-script_0.0.3\10805487.3.labs.11-15-2017 15-46-27.png",
"11/15/2017 16:05:38",1964,"11/15/2017 16:05:40",180270,"11/15/2017 16:08:41",,
"11/15/2017 16:24:44",2578,"11/15/2017 16:24:47",4523,"11/15/2017 16:24:51","D:\code\cc-script_0.0.3\10805487.3.labs.11-15-2017 16-24-37.png",
"11/15/2017 16:43:46",3670,"11/15/2017 16:43:50",1868,"11/15/2017 16:43:52","D:\code\cc-script_0.0.3\10805487.3.labs.11-15-2017 16-43-39.png",
"11/15/2017 16:50:52",1621,"11/15/2017 16:50:53",180297,"11/15/2017 16:53:54",,
"11/15/2017 17:09:56",2854,"11/15/2017 17:09:59",4622,"11/15/2017 17:10:04","D:\code\cc-script_0.0.3\10805487.3.labs.11-15-2017 17-09-50.png",
"11/15/2017 17:29:00",180859,"11/15/2017 17:32:01",22,"11/15/2017 17:32:01",,
"11/15/2017 17:48:06",2675,"11/15/2017 17:48:09",4429,"11/15/2017 17:48:13","D:\code\cc-script_0.0.3\10805487.3.labs.11-15-2017 17-47-59.png",
